condition;t;depth
ctrl;77;21,20634382
ctrl;70;46,48608759
ctrl;72;21,40299237
ctrl;74;22,00324854
ctrl;69;21,96929425
ctrl;77;22,51197307
ctrl;78;21,87798585
ctrl;55;23,75975658
ctrl;76;22,2149219
ctrl;63;21,38234386
ctrl;55;22,62529961
ctrl;71;22,91071918
ctrl;76;23,11798085
ctrl;71;21,4695068
ctrl;23;25,87691744
ctrl;79;23,31463483
ctrl;69;23,30899049
ctrl;62;23,22921641
ctrl;57;23,1417819
ctrl;87;21,00140324
a-mpCut;106;5,099317029
a-mpCut;185;4,585066288
a-mpCut;172;3,187106162
a-mpCut;197;3,473078125
a-mpCut;195;3,208937273
a-mpCut;187;3,446579796
a-mpCut;191;3,262093494
a-mpCut;135;5,22715484
a-mpCut;121;4,932717142
a-mpCut;199;3,104741318
a-mpCut;132;3,303874468
a-mpCut;118;3,302647384
a-mpCut;100;4,4692527
a-mpCut;197;3,27597312
a-mpCut;99;3,230441134
a-mpCut;160;3,398070781
a-mpCut;192;4,883727522
a-mpCut;199;3,16899833
a-mpCut;193;3,471074577
a-mpCut;107;4,451360751
